run_rank,crossover,replacement_strategy,elite_size,replacement_fraction,mutation,initial_population_mode,label,point_index,gen,best_curve,best_ga,best_known,gap_to_best_known,stop_reason
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,92,91.0,679.0,679.0,531.0,148.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,93,92.0,679.0,679.0,531.0,148.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,94,93.0,679.0,679.0,531.0,148.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,95,94.0,679.0,679.0,531.0,148.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,96,95.0,679.0,679.0,531.0,148.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,97,96.0,679.0,679.0,531.0,148.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,98,97.0,679.0,679.0,531.0,148.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,99,98.0,679.0,679.0,531.0,148.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,100,99.0,679.0,679.0,531.0,148.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,101,100.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,1,0.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,2,1.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,3,2.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,4,3.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,5,4.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,6,5.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,7,6.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,8,7.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,9,8.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,10,9.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,11,10.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,12,11.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,13,12.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,14,13.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,15,14.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,16,15.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,17,16.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,18,17.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,19,18.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,20,19.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,21,20.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,22,21.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,23,22.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,24,23.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,25,24.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,26,25.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,27,26.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,28,27.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,29,28.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,30,29.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,31,30.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,32,31.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,33,32.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,34,33.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,35,34.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,36,35.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,37,36.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,38,37.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,39,38.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,40,39.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,41,40.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,42,41.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,43,42.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,44,43.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,45,44.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,46,45.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,47,46.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,48,47.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,49,48.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,50,49.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,51,50.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,52,51.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,53,52.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,54,53.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,55,54.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,56,55.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,57,56.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,58,57.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,59,58.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,60,59.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,61,60.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,62,61.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,63,62.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,64,63.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,65,64.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,66,65.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,67,66.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,68,67.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,69,68.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,70,69.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,71,70.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,72,71.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,73,72.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,74,73.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,75,74.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,76,75.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,77,76.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,78,77.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,79,78.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,80,79.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,81,80.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,82,81.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,83,82.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,84,83.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,85,84.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,86,85.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,87,86.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,88,87.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,89,88.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,90,89.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,91,90.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,92,91.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,93,92.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,94,93.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,95,94.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,96,95.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,97,96.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,98,97.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,99,98.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,100,99.0,679.0,679.0,531.0,148.0,max_generations
2,decuple,generational,1,0.9,swap,priority_rules,generational/priority_rules/swap,101,100.0,679.0,679.0,531.0,148.0,max_generations
3,decuple,generational,1,0.9,insertion_window,priority_rules,generational/priority_rules/insertion_window,1,0.0,679.0,679.0,531.0,148.0,max_generations
