source_file,instance,seed,rank,crossover,mutation,best_ga,gap_to_best_known,improvement_vs_seed,initial_best,logged_best,improvement_gen0,final_avg,final_std,n_gen_executed,n_evals,n_unique_schedules,stop_reason
j12051_5_operator_comparison_seed42.csv,j12051_5,42,15,two_point,insertion_window,258.0,29.0,8.0,266.0,258.0,8.0,258.64,0.48,100,4590,0,max_generations
j12051_5_operator_comparison_seed42.csv,j12051_5,42,16,two_point,adjacent_swap,260.0,31.0,6.0,266.0,260.0,6.0,260.0,0.0,100,4584,0,max_generations
j12051_6_operator_comparison_seed42.csv,j12051_6,42,1,uniform_order,swap,220.0,6.0,36.0,256.0,220.0,36.0,220.0,0.0,100,4587,0,max_generations
j12051_6_operator_comparison_seed42.csv,j12051_6,42,2,decuple,adjacent_swap,222.0,8.0,34.0,256.0,222.0,34.0,222.0,0.0,100,4573,0,max_generations
j12051_6_operator_comparison_seed42.csv,j12051_6,42,3,uniform_order,consensus_reorder,222.0,8.0,34.0,256.0,222.0,34.0,222.0,0.0,100,4587,0,max_generations
j12051_6_operator_comparison_seed42.csv,j12051_6,42,4,uniform_order,insertion_window,222.0,8.0,34.0,256.0,222.0,34.0,222.0,0.0,100,4609,0,max_generations
j12051_6_operator_comparison_seed42.csv,j12051_6,42,5,uniform_order,adjacent_swap,226.0,12.0,30.0,256.0,226.0,30.0,226.0,0.0,100,4571,0,max_generations
j12051_6_operator_comparison_seed42.csv,j12051_6,42,6,decuple,insertion_window,226.0,12.0,30.0,256.0,226.0,30.0,226.0,0.0,100,4611,0,max_generations
j12051_6_operator_comparison_seed42.csv,j12051_6,42,7,decuple,consensus_reorder,229.0,15.0,27.0,256.0,229.0,27.0,230.96,0.28,100,4646,0,max_generations
j12051_6_operator_comparison_seed42.csv,j12051_6,42,8,decuple,swap,230.0,16.0,26.0,256.0,230.0,26.0,230.0,0.0,100,4641,0,max_generations
j12051_6_operator_comparison_seed42.csv,j12051_6,42,9,two_point,swap,233.0,19.0,23.0,256.0,233.0,23.0,233.0,0.0,100,4596,0,max_generations
j12051_6_operator_comparison_seed42.csv,j12051_6,42,10,two_point,adjacent_swap,245.0,31.0,11.0,256.0,245.0,11.0,245.0,0.0,100,4584,0,max_generations
j12051_6_operator_comparison_seed42.csv,j12051_6,42,11,one_point,adjacent_swap,245.0,31.0,11.0,256.0,245.0,11.0,245.0,0.0,100,4603,0,max_generations
j12051_6_operator_comparison_seed42.csv,j12051_6,42,12,two_point,consensus_reorder,245.0,31.0,11.0,256.0,245.0,11.0,245.0,0.0,100,4621,0,max_generations
j12051_6_operator_comparison_seed42.csv,j12051_6,42,13,one_point,insertion_window,247.0,33.0,9.0,256.0,247.0,9.0,247.0,0.0,100,4558,0,max_generations
j12051_6_operator_comparison_seed42.csv,j12051_6,42,14,two_point,insertion_window,248.0,34.0,8.0,256.0,248.0,8.0,248.0,0.0,100,4605,0,max_generations
j12051_6_operator_comparison_seed42.csv,j12051_6,42,15,one_point,swap,249.0,35.0,7.0,256.0,249.0,7.0,249.0,0.0,100,4590,0,max_generations
j12051_6_operator_comparison_seed42.csv,j12051_6,42,16,one_point,consensus_reorder,250.0,36.0,6.0,256.0,250.0,6.0,250.0,0.0,100,4647,0,max_generations
j12051_7_operator_comparison_seed42.csv,j12051_7,42,1,decuple,insertion_window,216.0,5.0,31.0,247.0,216.0,31.0,216.0,0.0,100,4572,0,max_generations
j12051_7_operator_comparison_seed42.csv,j12051_7,42,2,uniform_order,insertion_window,216.0,5.0,31.0,247.0,216.0,31.0,216.0,0.0,100,4609,0,max_generations
j12051_7_operator_comparison_seed42.csv,j12051_7,42,3,uniform_order,adjacent_swap,217.0,6.0,30.0,247.0,217.0,30.0,217.0,0.0,100,4571,0,max_generations
