rank,crossover,mutation,best_ga,gap_to_best_known,improvement_vs_seed,initial_best,logged_best,improvement_gen0,final_avg,final_std,n_gen_executed,n_evals,n_unique_schedules,stop_reason
1,decuple,insertion_window,216.0,5.0,31.0,247.0,216.0,31.0,216.0,0.0,100,4572,0,max_generations
2,uniform_order,insertion_window,216.0,5.0,31.0,247.0,216.0,31.0,216.0,0.0,100,4609,0,max_generations
3,uniform_order,adjacent_swap,217.0,6.0,30.0,247.0,217.0,30.0,217.0,0.0,100,4571,0,max_generations
4,uniform_order,swap,218.0,7.0,29.0,247.0,218.0,29.0,218.0,0.0,100,4587,0,max_generations
5,uniform_order,consensus_reorder,218.0,7.0,29.0,247.0,218.0,29.0,219.96,0.28,100,4604,0,max_generations
6,decuple,adjacent_swap,221.0,10.0,26.0,247.0,221.0,26.0,221.0,0.0,100,4573,0,max_generations
7,decuple,consensus_reorder,221.0,10.0,26.0,247.0,221.0,26.0,221.0,0.0,100,4617,0,max_generations
8,decuple,swap,221.0,10.0,26.0,247.0,221.0,26.0,221.0,0.0,100,4641,0,max_generations
9,two_point,swap,231.0,20.0,16.0,247.0,231.0,16.0,231.0,0.0,100,4596,0,max_generations
10,one_point,insertion_window,234.0,23.0,13.0,247.0,234.0,13.0,234.0,0.0,100,4561,0,max_generations
11,one_point,swap,238.0,27.0,9.0,247.0,238.0,9.0,238.0,0.0,100,4590,0,max_generations
12,two_point,insertion_window,238.0,27.0,9.0,247.0,238.0,9.0,238.0,0.0,100,4602,0,max_generations
13,one_point,adjacent_swap,238.0,27.0,9.0,247.0,238.0,9.0,238.0,0.0,100,4603,0,max_generations
14,one_point,consensus_reorder,238.0,27.0,9.0,247.0,238.0,9.0,238.0,0.0,100,4619,0,max_generations
15,two_point,adjacent_swap,239.0,28.0,8.0,247.0,239.0,8.0,239.0,0.0,100,4584,0,max_generations
16,two_point,consensus_reorder,243.0,32.0,4.0,247.0,243.0,4.0,243.0,0.0,100,4606,0,max_generations
