run_rank,crossover,replacement_strategy,elite_size,replacement_fraction,mutation,initial_population_mode,label,point_index,gen,best_curve,best_ga,best_known,gap_to_best_known,stop_reason
1,decuple,diverse_elitist,1,0.9,insertion_window,priority_rules,diverse_elitist/priority_rules/insertion_window,1,0.0,3517.0,3508.0,2828.0,680.0,max_generations
1,decuple,diverse_elitist,1,0.9,insertion_window,priority_rules,diverse_elitist/priority_rules/insertion_window,2,1.0,3517.0,3508.0,2828.0,680.0,max_generations
1,decuple,diverse_elitist,1,0.9,insertion_window,priority_rules,diverse_elitist/priority_rules/insertion_window,3,2.0,3517.0,3508.0,2828.0,680.0,max_generations
1,decuple,diverse_elitist,1,0.9,insertion_window,priority_rules,diverse_elitist/priority_rules/insertion_window,4,3.0,3517.0,3508.0,2828.0,680.0,max_generations
1,decuple,diverse_elitist,1,0.9,insertion_window,priority_rules,diverse_elitist/priority_rules/insertion_window,5,4.0,3516.0,3508.0,2828.0,680.0,max_generations
1,decuple,diverse_elitist,1,0.9,insertion_window,priority_rules,diverse_elitist/priority_rules/insertion_window,6,5.0,3516.0,3508.0,2828.0,680.0,max_generations
1,decuple,diverse_elitist,1,0.9,insertion_window,priority_rules,diverse_elitist/priority_rules/insertion_window,7,6.0,3516.0,3508.0,2828.0,680.0,max_generations
1,decuple,diverse_elitist,1,0.9,insertion_window,priority_rules,diverse_elitist/priority_rules/insertion_window,8,7.0,3516.0,3508.0,2828.0,680.0,max_generations
1,decuple,diverse_elitist,1,0.9,insertion_window,priority_rules,diverse_elitist/priority_rules/insertion_window,9,8.0,3516.0,3508.0,2828.0,680.0,max_generations
1,decuple,diverse_elitist,1,0.9,insertion_window,priority_rules,diverse_elitist/priority_rules/insertion_window,10,9.0,3516.0,3508.0,2828.0,680.0,max_generations
1,decuple,diverse_elitist,1,0.9,insertion_window,priority_rules,diverse_elitist/priority_rules/insertion_window,11,10.0,3516.0,3508.0,2828.0,680.0,max_generations
1,decuple,diverse_elitist,1,0.9,insertion_window,priority_rules,diverse_elitist/priority_rules/insertion_window,12,11.0,3516.0,3508.0,2828.0,680.0,max_generations
1,decuple,diverse_elitist,1,0.9,insertion_window,priority_rules,diverse_elitist/priority_rules/insertion_window,13,12.0,3516.0,3508.0,2828.0,680.0,max_generations
1,decuple,diverse_elitist,1,0.9,insertion_window,priority_rules,diverse_elitist/priority_rules/insertion_window,14,13.0,3516.0,3508.0,2828.0,680.0,max_generations
1,decuple,diverse_elitist,1,0.9,insertion_window,priority_rules,diverse_elitist/priority_rules/insertion_window,15,14.0,3516.0,3508.0,2828.0,680.0,max_generations
1,decuple,diverse_elitist,1,0.9,insertion_window,priority_rules,diverse_elitist/priority_rules/insertion_window,16,15.0,3515.0,3508.0,2828.0,680.0,max_generations
1,decuple,diverse_elitist,1,0.9,insertion_window,priority_rules,diverse_elitist/priority_rules/insertion_window,17,16.0,3515.0,3508.0,2828.0,680.0,max_generations
1,decuple,diverse_elitist,1,0.9,insertion_window,priority_rules,diverse_elitist/priority_rules/insertion_window,18,17.0,3515.0,3508.0,2828.0,680.0,max_generations
1,decuple,diverse_elitist,1,0.9,insertion_window,priority_rules,diverse_elitist/priority_rules/insertion_window,19,18.0,3515.0,3508.0,2828.0,680.0,max_generations
1,decuple,diverse_elitist,1,0.9,insertion_window,priority_rules,diverse_elitist/priority_rules/insertion_window,20,19.0,3515.0,3508.0,2828.0,680.0,max_generations
