run_rank,crossover,replacement_strategy,elite_size,replacement_fraction,mutation,initial_population_mode,label,point_index,gen,best_curve,best_ga,best_known,gap_to_best_known,stop_reason
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,31,30.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,32,31.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,33,32.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,34,33.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,35,34.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,36,35.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,37,36.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,38,37.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,39,38.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,40,39.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,41,40.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,42,41.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,43,42.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,44,43.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,45,44.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,46,45.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,47,46.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,48,47.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,49,48.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,50,49.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,51,50.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,52,51.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,53,52.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,54,53.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,55,54.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,56,55.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,57,56.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,58,57.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,59,58.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,60,59.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,61,60.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,62,61.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,63,62.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,64,63.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,65,64.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,66,65.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,67,66.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,68,67.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,69,68.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,70,69.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,71,70.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,72,71.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,73,72.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,74,73.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,75,74.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,76,75.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,77,76.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,78,77.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,79,78.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,80,79.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,81,80.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,82,81.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,83,82.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,84,83.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,85,84.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,86,85.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,87,86.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,88,87.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,89,88.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,90,89.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,91,90.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,92,91.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,93,92.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,94,93.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,95,94.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,96,95.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,97,96.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,98,97.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,99,98.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,100,99.0,333.0,333.0,332.0,1.0,max_generations
1,decuple,generational,1,0.9,adjacent_swap,priority_rules,generational/priority_rules/adjacent_swap,101,100.0,333.0,333.0,332.0,1.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,1,0.0,354.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,2,1.0,347.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,3,2.0,344.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,4,3.0,341.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,5,4.0,340.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,6,5.0,340.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,7,6.0,338.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,8,7.0,338.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,9,8.0,338.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,10,9.0,337.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,11,10.0,337.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,12,11.0,337.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,13,12.0,337.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,14,13.0,337.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,15,14.0,337.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,16,15.0,337.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,17,16.0,337.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,18,17.0,337.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,19,18.0,337.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,20,19.0,337.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,21,20.0,337.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,22,21.0,337.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,23,22.0,337.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,24,23.0,337.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,25,24.0,337.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,26,25.0,337.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,27,26.0,337.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,28,27.0,337.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,29,28.0,337.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,30,29.0,337.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,31,30.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,32,31.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,33,32.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,34,33.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,35,34.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,36,35.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,37,36.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,38,37.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,39,38.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,40,39.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,41,40.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,42,41.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,43,42.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,44,43.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,45,44.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,46,45.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,47,46.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,48,47.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,49,48.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,50,49.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,51,50.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,52,51.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,53,52.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,54,53.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,55,54.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,56,55.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,57,56.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,58,57.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,59,58.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,60,59.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,61,60.0,336.0,335.0,332.0,3.0,max_generations
2,decuple,generational,1,0.9,adjacent_swap,random,generational/random/adjacent_swap,62,61.0,336.0,335.0,332.0,3.0,max_generations
